Species name,Scientific name,Diet,Extent of occurrence,BirdLife Extent of occurrence,Body size,log Extent of occurrence,log Body size
Black vulture,Coragyps atratus,Obligate,42593865.0,44300000.0,2200,7.629347050076423,3.342422680822206
Turkey vulture,Cathartes aura,Obligate,52285085.0,47100000.0,2500,7.718377818389156,3.3979400086720375
Lesser yellow headed vulture,Cathartes burrovianus,Obligate,19989926.0,19600000.0,950,7.300811186421711,2.9777236052888476
Greater yellow headed vulture,Cathartes melambrotus,Obligate,7481821.0,7330000.0,1650,6.8740073136400275,3.2174839442139063
King vulture,Sarcoramphus papa,Obligate,17390218.0,22600000.0,3800,7.24030502625824,3.57978359661681
California condor,Gymnogyps californianus,Obligate,623937.0,405000.0,14000,5.7951407404298045,4.146128035678238
Andean condor,Vultur gryphus,Obligate,8564654.0,8520000.0,15000,6.932709822768434,4.176091259055681
Bearded vulture,Gypaetus barbatus,Obligate,61211994.0,61700000.0,7200,7.7868365270092665,3.8573324964312685
Egyptian vulture,Neophron percnopterus,Obligate,38244613.0,58000000.0,2400,7.5825702706233296,3.380211241711606
Hooded vulture,Necrosyrtes monachus,Obligate,17879525.0,22500000.0,2600,7.252355976841381,3.4149733479708178
Indian vulture,Gyps indicus,Obligate,2140061.0,2150000.0,6300,6.330426152594907,3.7993405494535817
Slender-billed vulture,Gyps tenuirostris,Obligate,1512785.0,2130000.0,7000,6.179777209617043,3.845098040014257
White-rumped vulture,Gyps bengalensis,Obligate,6227552.877,7370000.0,5700,6.7943174237383435,3.7558748556724915
Griffon vulture,Gyps fulvus,Obligate,22806627.33,20400000.0,11300,7.358061066062793,4.05307844348342
RÃ¼ppell's vulture,Gyps rueppelli,Obligate,17951124.22,14200000.0,9000,7.254091652204233,3.9542425094393248
Himalayan vulture,Gyps himalayensis,Obligate,10154258.72,6220000.0,12000,7.006648224583352,4.079181246047625
White-backed vulture,Gyps africanus,Obligate,20062589.19,23400000.0,7200,7.3023869804474515,3.8573324964312685
Cape vulture,Gyps coprotheres,Obligate,2823440.639,1230000.0,10900,6.450778661410336,4.037426497940624
Red-headed vulture,Sarcogyps calvus,Obligate,6062100.885,5230000.0,5400,6.782623159585914,3.7323937598229686
White-headed vulture,Trigonoceps occipitalis,Obligate,16691762.8,21100000.0,5300,7.222502204497432,3.724275869600789
Cinereous vulture,Aegypius monachus,Obligate,22087737.59,22400000.0,11500,7.344151234092455,4.060697840353612
Lappet-faced vulture,Torgos tracheliotos,Obligate,31259029.86,34200000.0,9400,7.494975495340665,3.9731278535996988
Palm-nut vulture,Gypohierax angolensis,Facultative,13144006.52,18000000.0,1800,7.118727765856047,3.255272505103306
Common raven,Corvus corax,Facultative,133988675.0,137000000.0,1625,8.127068092447958,3.210853365314893
American crow,Corvus brachyrhynchos,Facultative,18381314.0,12600000.0,620,7.2643765539789085,2.792391689498254
Carrion crow,Corvus corone,Facultative,57030536.64,81600000.0,645,7.756107458183286,2.8095597146352675
Large-billed crow,Corvus macrorhynchos,Facultative,28639367.46,39100000.0,1000,7.456963421748066,3.0
House crow,Corvus splendens,Facultative,6290648.756,8510000.0,415,6.798695436641115,2.6180480967120925
Australian raven,Corvus coronoides,Facultative,5663110.272,7870000.0,650,6.753055018284633,2.8129133566428557
Pied crow,Corvus albus,Facultative,33142275.73,32900000.0,520,7.520382326142709,2.716003343634799
Bald eagle,Haliaeetus leucocephalus,Facultative,23143597.91,28400000.0,6500,7.364430875402061,3.8129133566428557
Golden eagle,Aquila chrysaetos,Facultative,86452329.55,140000000.0,6125,7.936776700294492,3.78710609303657
White-tailed eagle,Haliaeetus albicilla,Facultative,60352317.61,42700000.0,6900,7.780693952244603,3.838849090737255
Stellar's sea eagle,Haliaeetus pelagicus,Facultative,5334236.222,2940000.0,10000,6.727072244132169,4.0
Wedge-tailed eagle,Aquila audax,Facultative,9699946.723,10600000.0,5300,6.986769348908445,3.724275869600789
Steppe eagle,Aquila nipalensis,Facultative,56958181.54,12600000.0,4900,7.755556115464645,3.690196080028514
Martial eagle,Polemaetus bellicosus,Facultative,19692817.71,26000000.0,6500,7.294307860798041,3.8129133566428557
African fish eagle,Haliaeetus vocifer,Facultative,21917205.11,25200000.0,3600,7.340785171952218,3.5563025007672873
Crested caracara,Caracara plancus,Facultative,47987410.0,40700000.0,1600,7.681127310610431,3.2041199826559246
Mountain caracara,Phalcoboenus megalopterus,Facultative,3025420.0,2130000.0,795,6.48078567354083,2.9003671286564705
Striated caracara,Phalcoboenus australis,Facultative,293265.0,154000.0,1200,5.467260234770943,3.0791812460476247
Chimango caracara,Milvago chimango,Facultative,5807789.0,6660000.0,300,6.764010829833866,2.4771212547196626
Yellow-headed caracara,Milvago chimachima,Facultative,15997736.0,16500000.0,364,7.2040585256385485,2.561101383649056
White-throated caracara,Phalcoboenus albogularis,Facultative,400989.0,852000.0,795,5.603132459141815,2.9003671286564705
Black caracara,Daptrius ater,Facultative,6566882.0,8390000.0,445,6.817359212540177,2.6483600109809315
Marabou stork,Leptoptilos crumenifer,Facultative,17387872.0,24000000.0,9000,7.240246434492213,3.9542425094393248
Greater adjutant,Leptoptilos dubius,Facultative,1036586.0,1200000.0,8000,6.015605339016531,3.9030899869919438
White stork,Ciconia ciconia,Facultative,56621594.0,52700000.0,4500,7.7529820913741885,3.6532125137753435
Northern ground-hornbill,Bucorvus abyssinicus,Facultative,6156261.0,8880000.0,4000,6.7893170238392555,3.6020599913279625
Southern ground-hornbill,Bucorvus leadbeateri,Facultative,3379711.0,7140000.0,6100,6.528879565226956,3.785329835010767
Bateleur,Terathopius ecaudatus,Facultative,16618551.0,23500000.0,3000,7.2205931542171635,3.4771212547196626
Tawny eagle,Aquila rapax,Facultative,40122825.0,52700000.0,2500,7.603391503578658,3.3979400086720375
Imperial eagle,Aquila heliaca,Facultative,46322052.76,15400000.0,4500,7.6657877968892185,3.6532125137753435
Pallas's fish eagle,Haliaeetus leucoryphus,Facultative,5388526.0,1740000.0,3700,6.73146998269824,3.568201724066995
Sanford's sea eagle,Haliaeetus sanfordi,Facultative,120671.5847,172000.0,2700,5.081605016072179,3.4313637641589874
Black-breasted kite,Hamirostra melanosternon,Facultative,6537736.366,8350000.0,1240,6.815427403687007,3.093421685162235
Red kite,Milvus milvus,Facultative,5349698.964,6870000.0,1600,6.728329344273189,3.2041199826559246
Black kite,Milvus migrans,Facultative,151528639.8,115653659.0,1008,8.180494724796022,3.0034605321095067
Brahminy kite,Haliastur indus,Facultative,27102091.29,45300000.0,700,7.433002803814069,2.845098040014257
Whistling kite,Haliastur sphenurus,Facultative,12949512.61,14500000.0,1000,7.112253422875117,3.0
Canada jay,Perisoreus canadensis,Facultative,16784075.0,16900000.0,84,7.224897411508048,1.9242792860618816
Siberian jay,Perisoreus infaustus,Facultative,13229740.0,19300000.0,90,7.1215513092158576,1.954242509439325
Chihuahua raven,Corvus cryptoleucus,Facultative,1718505.352,1790000.0,667,6.235150889013511,2.824125833916549
Torresian crow,Corvus orru,Facultative,6613896.825,12400000.0,650,6.820457415754178,2.8129133566428557
Forest raven,Corvus tasmanicus,Facultative,786817.4517,1020000.0,800,5.895873984054818,2.9030899869919438
